3,3,13,13
24,3,34,13
46,3,56,13
68,3,78,13
90,3,100,13
112,3,122,13
133,3,143,13
155,3,165,13
177,3,187,13
199,3,209,13
221,3,231,13
243,3,253,13
3,24,13,34
24,24,34,34
46,24,56,34
68,24,78,34
90,24,100,34
112,24,122,34
133,24,143,34
155,24,165,34
177,24,187,34
199,24,209,34
221,24,231,34
243,24,253,34
3,46,13,56
24,46,34,56
46,46,56,56
68,46,78,56
90,46,100,56
112,46,122,56
133,46,143,56
155,46,165,56
177,46,187,56
199,46,209,56
221,46,231,56
243,46,253,56
3,68,13,78
24,68,34,78
46,68,56,78
68,68,78,78
90,68,100,78
112,68,122,78
133,68,143,78
155,68,165,78
177,68,187,78
199,68,209,78
221,68,231,78
243,68,253,78
3,90,13,100
24,90,34,100
46,90,56,100
68,90,78,100
90,90,100,100
112,90,122,100
133,90,143,100
155,90,165,100
177,90,187,100
199,90,209,100
221,90,231,100
243,90,253,100
3,112,13,122
24,112,34,122
46,112,56,122
68,112,78,122
90,112,100,122
112,112,122,122
133,112,143,122
155,112,165,122
177,112,187,122
199,112,209,122
221,112,231,122
243,112,253,122
3,133,13,143
24,133,34,143
46,133,56,143
68,133,78,143
90,133,100,143
112,133,122,143
133,133,143,143
155,133,165,143
177,133,187,143
199,133,209,143
221,133,231,143
243,133,253,143
3,155,13,165
24,155,34,165
46,155,56,165
68,155,78,165
90,155,100,165
112,155,122,165
133,155,143,165
155,155,165,165
177,155,187,165
199,155,209,165
221,155,231,165
243,155,253,165
3,177,13,187
24,177,34,187
46,177,56,187
68,177,78,187
90,177,100,187
112,177,122,187
133,177,143,187
155,177,165,187
177,177,187,187
199,177,209,187
221,177,231,187
243,177,253,187
3,199,13,209
24,199,34,209
46,199,56,209
68,199,78,209
90,199,100,209
112,199,122,209
133,199,143,209
155,199,165,209
177,199,187,209
199,199,209,209
221,199,231,209
243,199,253,209
3,221,13,231
24,221,34,231
46,221,56,231
68,221,78,231
90,221,100,231
112,221,122,231
133,221,143,231
155,221,165,231
177,221,187,231
199,221,209,231
221,221,231,231
243,221,253,231
3,243,13,253
24,243,34,253
46,243,56,253
68,243,78,253
90,243,100,253
112,243,122,253
133,243,143,253
155,243,165,253
177,243,187,253
199,243,209,253
221,243,231,253
243,243,253,253
